,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
978,Education,Create,Create,Back To School: Banana,"Release your inner artist with the help of our experts who will show you how to mould, fold, paint, braid, twirl and build. There's so many creative projects you can do at home with some simple materials and with your hands!","Bananas are a brilliant back to school snack but which one should you select for your lunchbox? ABC ME will help you pick the one that is just ""ripe""!","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1617V063S00_58900db23f150_1280.jpg,No more information found,"['abc3', '3make', 'me-prod', 'me-create', 'me-craft', 'childrens', 'family-viewing-abcme', 'primary-arts', 'education', 'kinderscreateschoolhacks']",2019-11-03 06:07:00,G,52
979,Education,Create,Create,Valentine's Day: Love Bugs,"Release your inner artist with the help of our experts who will show you how to mould, fold, paint, braid, twirl and build. There's so many creative projects you can do at home with some simple materials and with your hands!","These bugs are anything but creepy and crawly, instead they have a lovely message for your friends and family this Valentine's Day!","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1617V073S00_5897b614316a7_1280.jpg,No more information found,"['abc3', '3make', 'me-prod', 'me-create', 'me-craft', 'childrens', 'family-viewing-abcme', 'primary-arts', 'education']",2020-02-13 06:00:00,G,118
980,Education,Tell Me A Tale,Tell Me A Tale,Friendly,"Tell Me A Tale is a series of interstitials which explore wellbeing and emotional intelligence using the voices of real, Aussie kids, with animation based on their very own drawings.","Charlie and her sister make a new friend at the park, and together they use their kindness and confidence to win over an unlikely creature.","['ABC ME', 'ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1928H007S00_5f7fae5aeec3d.jpg,No more information found,"['abc3', 'education', 'abc4kids']",2020-10-15 10:02:00,G,63
981,Education,Mikki vs the World,Mikki vs the World,Series 1 True Grit ,"Mikki vs the World explores the wonderful, on one hand, and confusing on the other, mental health and brain development of Australian adolescents.","Not having clients is really getting Mikki down and she might have to give up her psychology practice. Can she learn how to be resilient during tough times with a little help from gymnast and Ninja Warrior, Olivia Vivian?","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK2068H015S00_6090c956c8b59.jpg,"Cast Chika Ikogwe, Carlo Ritchie, Becky Lucas","['abc3', 'education', 'childrens', '3featured', 'secondary-health', 'primary-health']",2021-05-18 17:03:00,G,1172
982,Education,What Is Music?,What Is Music?,Why Does Music Give You Goosebumps?,Why do we love a good beat? Does classical music really make you smarter? Join triple j's Linda Marigliano and composer Dan Golding as they explore the electrifying fusion of emotion and science in music.,"Why does that song give you shivers? We ask experts about the alchemy of music, emotion and memory - and Linda and Dan try to give each other 'skin orgasms'.","['ABC ARTS', 'ABC TV', 'ARTS & CULTURE', 'DOCUMENTARY', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1719H002S00_5b581ad2bcbe1_1280.jpg,"Host Dan Golding, Linda Marigliano","['iview', 'abcarts', 'arts', 'music', 'docs', 'factual', 'docs-short', 'abc1', 'education', 'family-viewing', 'secondary-arts']",2022-01-24 06:00:00,G,835
983,Education,storyTree,storyTree,The Plants Of My Aunt,"Join storyteller, Miss Treeleaf, in an imaginary world with make-believe characters as she reads popular children's books. Early Stage 1 and Stage 1 English","Petunia goes to visit her aunt, but the house is covered with plants...and she can't find her aunt","['ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9415A025S0055dbaafab46b30.78644657_1280.jpg,No more information found,"['abc4kids', '4story', 'education', 'primary-english']",2020-03-20 14:11:00,G,210
984,Education,China Tonight,China Tonight Extras,Taiwan: a brief explainer on a long history,"Stan Grant and Yvonne Yong take a fresh look at news from inside China. We go beyond the headlines of trade wars and global posturing to bring you stories of China's rise in the world, and the changes and challenges at home.","The story of Taiwan goes back thousands of years, and much has happened in that time. But tensions over the island continue, as Beijing looks to reunify.",['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/13569588-16x9-xlarge-v2.jpg,"Hosts Stan Grant, Yvonne Yong","['China', 'videoclips', 'taiwan', 'china', 'geopolitics']",2021-10-04 19:59:55,No data found,147
985,Education,Dates That Made History,Dates That Made History,Series 1 24 September 622: The Hegira,"This series tells world history through a few major dates, revisited through the prism of memory. Driven by historian Patrick Boucheron, history comes to life under our eyes with bold and entertaining graphics.","Mahomet's first year in Medina, in the year 622 of the Christian era, marks the beginning of the Muslim era and the birth of a new religion, civilization, empire and calendar.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1881A004S00_5d352d07adae4.jpg,No more information found,"['abc3', 'education', 'secondary-history']",2019-07-24 11:36:30,G,1623
986,Education,Mikki vs the World,Mikki vs the World,Series 1 IRL,"Mikki vs the World explores the wonderful, on one hand, and confusing on the other, mental health and brain development of Australian adolescents.","Mikki is a bit addicted to her phone, trying to get likes and shares is ruling her life, and not in a good way. She has even started to troll sister Daphne which Mo really doesn't think is cool.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK2068H005S00_6090ad690502f_1280.jpg,"Cast Chika Ikogwe, Carlo Ritchie, Becky Lucas","['abc3', 'education', 'childrens', '3featured', 'secondary-health', 'primary-health']",2021-05-09 06:00:00,G,1422
987,Education,Dates That Made History,Dates That Made History,Series 2 Episode 6 The Revolutions of 1848,"This series tells world history through a few major dates, revisited through the prism of memory. Driven by historian Patrick Boucheron, history comes to life under our eyes with bold and entertaining graphics.","The expression ""Spring of Nations"" inspired the more recent ""Arab Spring"" of 2011. Also known as the Springtime of the Peoples, the period was characterised by a cascade of national claims.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2920A006S00_60c2eb4b5e48e_1280.jpg,No more information found,"['abc3', 'education', 'secondary-history']",2021-06-26 06:05:00,PG,1634
