,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
466,Family,Octonauts,Octonauts,Octonauts And The Tiger Shark,"An intrepid band of explorers roam the oceans in search of adventure and fun. Led by a valiant polar bear and a daredevil kitten, these talented critters are always ready to embark on an exciting new mission.",Tweak must help her friend Sandy the sea turtle escape a hungry tiger shark.,"['ABC Kids', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9194A022S00_590990a6e4ec2.jpg,No more information found,"['abc4kids', '4action', '4upper', '4animals', '4featured', '4exciting', '4adventure-seekers', '4helping-hand', '4fav', '4work', 'childrens', 'featured', 'abcme-shoulder', 'family-viewing']",2022-03-07 16:15:12,G,660
467,Family,Find Me In Paris,Find Me In Paris,Series 2 Episode 26 Going Home,"Lena seeks to find who she is and why everyone is so interested in her and her timepiece. When she and her friends attend a dance workshop in the South of France, they have to fight for the only spot available in the company.",It's Portal Day and Lena is ready to reset time after one final showcase with her friends.,"['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1944A026S00_5dd47a49e12c9.jpg,"Cast Jessica Lord, Eubha Akilade, Castle Rock, Terique Jarrett, Christy O'Donnell","['abc3', 'abc3-faves', '3featured', '3drama', '3sport', '3dance', 'family-viewing']",2021-07-16 06:00:00,G,1464
468,Family,ITCH,ITCH,Series 1 Episode 7,"When Itch and his friends suspect evil corporation Greencorp are behind the dead fish washing up on the shores of Seaburgh, they set about trying to uncover the truth.","While Lucy is questioned by government agents, Itch and Tim escape after stowing away on a bus before being forced to abandon it to evade police, leaving them stranded in the outback.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1901W007S00_5df190d90f22b.jpg,"Cast Samuel Ireland, Kylah Day, Melanie Wozniak, Keala Kern, Charles Russell","['abc3', '3featured', 'childrens', 'featured', 'abc3-faves', '3science-week', 'family-viewing']",2021-06-23 10:15:00,PG,1345
469,Family,Bluey,Bluey,Flat Pack,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.","While Mum and Dad struggle to build new flat-pack furniture, Bluey and Bingo transform the empty boxes into their own new world.","['ABC Kids', 'ABC ME']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1903Q021S00_5e86a1808d8ea_1280.jpg,No more information found,"['abc4kids', 'abc3', '4family', '4featured', '4upper', '4lower', '4girls', 'abcme-shoulder', 'childrens', 'watchwiththekids', '4best', 'family-viewing-abcme', '4animals', 'family-viewing']",2022-02-14 06:19:50,G,420
470,Family,Bluey,Bluey,The Sleepover,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.","A sleepover with their cousin means Bluey and Bingo get to stay up late! But when Muffin shows up exhausted after missing her nap, the girls get more fun than they bargained for.","['ABC Kids', 'ABC ME']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1702Q047S00_5c99c817ed2e4.jpg,No more information found,"['abc4kids', 'abc3', '4family', '4featured', '4upper', '4lower', '4girls', 'logies', 'abcme-shoulder', 'pilotfaves', 'childrens', 'featured', 'watchwiththekids', '4best', 'family-viewing-abcme', '4animals', 'family-viewing']",2022-03-30 06:06:50,G,420
471,Family,Amelia Parker,Amelia Parker,Series 1 Episode 7 Best Friends Forever?,"Follow the comedic antics of Amelia Parker, the quietest member of the Parker Andersons, an intercontinental, interracial, blended family, as she discovers her voice in a new country and a new family.",Amelia and her visiting British best friend feel the disconnect.,"['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3184A007S00_61b9249dd064e_1920.jpg,Cast Millie Davis,"['abc3', '3featured', 'family-viewing']",2022-01-01 06:00:00,G,1295
472,Family,Odd Squad,Odd Squad,Series 1 Rise Of The Hyrdaclops,"The Odd Squad Mobile Unit is back for more global adventures! From Paris, to Chicago, to Singapore, the team will travel the world in search of anything strange, weird, and especially odd.","In order to save humanity, Olive and Otto must locate a treasure chest that Oscar buried.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0308A089S0056fb693cd80d43.03776431_1280.jpg,"Cast Alyssa Hidalgo, Gavin MacIver-Wright, Glee Dango, Jayce Alexander, Shazdeh Kapadia","['abc3', '3shoulder', '3tween', '3learn', '3oddsquad', 'abc3-faves', 'me-onboard', 'childrens', 'family-viewing-abcme', 'entertainment', 'investigation', 'adventure', 'explore', 'learn', 'mystery', 'funny', 'family-viewing', 'me-halloween', 'kindersolder']",2021-08-01 08:45:00,G,690
473,Family,Odd Squad,Odd Squad,Series 1 The Potato Ultimato,"The Odd Squad Mobile Unit is back for more global adventures! From Paris, to Chicago, to Singapore, the team will travel the world in search of anything strange, weird, and especially odd.","When Otto starts shrinking, Olaf leads Olive and Oren on a quest for the only known cure - the magical Growing Potato.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0308A099S0056fb68f78fb883.47239050_1280.jpg,"Cast Alyssa Hidalgo, Gavin MacIver-Wright, Glee Dango, Jayce Alexander, Shazdeh Kapadia","['abc3', '3shoulder', '3tween', '3learn', '3oddsquad', 'abc3-faves', 'me-onboard', 'childrens', 'family-viewing-abcme', 'entertainment', 'investigation', 'adventure', 'explore', 'learn', 'mystery', 'funny', 'family-viewing']",2021-08-01 08:45:00,G,690
474,Family,Top Jobs For Dogs,Top Jobs For Dogs,Series 1 Episode 7 Pets at Work,Top Jobs for Dogs showcases the many and varied roles that dogs have in the workforce - from companion dogs to police dogs. So many people are able to lead more fulfilling and healthier lives because of incredible dogs.,"From providing friendship in a retirement village to being responsible in a search and rescue team, these dogs know when it's time to work and put their best paw forward.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2440A007S00_607e79e026493.jpg,No more information found,"['abc3', 'family-viewing-abcme', '3featured', 'family-viewing']",2022-03-06 19:01:04,G,1650
475,Family,What's For Dinner? Lunar New Year,No data found,What's For Dinner? Lunar New Year,"Welcome to Penny's place for Lunar New Year! It starts with a race around the seafood markets for the freshest fish and veggies and ends with homemade dumplings, a colourful salad tossing tradition and some very cute dragons!","Welcome to Penny's place for Lunar New Year! It starts with a race around the seafood markets for the freshest fish and veggies and ends with homemade dumplings, a colourful salad tossing tradition and some very cute dragons!","['ABC ME', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK2040V001S00_6007526781e00.jpg,No more information found,"['abc3', 'childrens', 'primary-humanities', 'education', '3featured', 'family-viewing-abcme', 'family-viewing']",2021-02-05 06:00:00,G,783
476,Family,Shaun The Sheep,Shaun The Sheep,The Spider,"Join Shaun, Timmy, Bitzer and the flock as they undertake a teddy bear heist, a pumpkin patrol against a snail army and even try their hooves at a pizza delivery service! This series promises more sheepish shenanigans.","Bitzer decides to pamper himself with a relaxing bath while the Farmer is away from the farm. However, his plans are rudely disturbed by a persistent intruder. Will Shaun be able to out-smart the tenacious bug?","['ABC Kids', 'ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9550A010S005497ae4d8838b6.48727187_940.jpg,No more information found,"['abc4kids', 'abcme-shoulder', '4animals', '4shoulder', 'family-viewing', '4best', 'abc3', 'family-viewing-abcme', 'childrens', 'animation', 'animals', 'friendship', 'adventure', 'funny', 'farm', 'preschool', 'upper-preschool', 'lower-primary']",2022-03-22 19:40:06,G,421
477,Family,Old People's Home For 4 Year Olds,Old People's Home For 4 Year Olds,Series 1 Episode 4,A unique social experiment that brings together elderly people in a retirement community with a group of 4-year-olds. Could this encounter between young and old help transform the lives of the elderly?,"In an experiment that aims to tackle the adult's confidence and mobility, the experts curate an action-packed week aimed at increasing their physical ability, including a day of sports.","['ABC TV', 'DOCUMENTARY', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1803H004S00_5d6dd337d4980.jpg,Narrator Annabel Crabb,"['abc1', 'australia', 'factual', 'docs', 'docuseries', 'people', 'reality', 'emotional', 'heartfelt', 'inspirational', 'endearing', 'charming', 'culture', 'real-life', 'diversity', 'a:retirees', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-uplifted', 'ns:understand', 'binge-worthy', 'family-viewing']",2019-09-17 21:27:55,G,3443
478,Family,Bluey,Bluey,Shops,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.","Playing 'Shops' is the best game ever for Bluey and her friends - if they can ever get started! With Bluey questioning the rules and changing who's who, they might be here all day!","['ABC Kids', 'ABC ME']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1702Q025S00_5bc552183d062.jpg,No more information found,"['abc4kids', 'abc3', '4family', '4featured', '4upper', '4lower', '4girls', 'logies', 'abcme-shoulder', 'pilotfaves', 'childrens', 'featured', 'watchwiththekids', '4best', 'family-viewing-abcme', '4animals', 'family-viewing']",2022-03-30 06:04:10,G,420
479,Family,Barney's Barrier Reef,Barney's Barrier Reef,Series 1 Freak Or Unique,"Dive into the incredible world of Australia's Great Barrier Reef, as Barney discovers creatures that are quirky, crazy and creepy!","Barney and Gemma meet bizarre, disgusting and hair-raising creatures on the Great Barrier Reef.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX0461A006S00_59efdcef309ca_1280.jpg,"Host Barney Harwood, Gemma Hunt","['3real', 'abc3', 'repeat', 'childrens', 'family-viewing']",2022-03-08 11:01:48,G,1697
480,Family,Shaun The Sheep,Shaun The Sheep,Big Top Timmy,"Join Shaun, Timmy, Bitzer and the flock as they undertake a teddy bear heist, a pumpkin patrol against a snail army and even try their hooves at a pizza delivery service! This series promises more sheepish shenanigans.","A circus sets up in a nearby field, and a spellbound Timmy wanders off to investigate. Can Shaun rescue him before the Farmer notices he's gone?","['ABC Kids', 'ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zy/ZY7651A004S00555c296d9b74a8.93326613_1280.jpg,No more information found,"['abc4kids', 'abcme-shoulder', '4animals', '4shoulder', 'family-viewing', '4best', 'abc3', 'childrens', 'featured', 'watchwiththekids', 'family-viewing-abcme', 'animation', 'animals', 'friendship', 'adventure', 'funny', 'farm', 'preschool', 'upper-preschool', 'lower-primary']",2022-03-10 18:37:50,G,422
481,Family,Good Game Spawn Point,Good Game Spawn Point,Series 13 Episode 1 Pokemon Legends: Arceus & The Year Ahead In Games!,"Good Game Spawn Point is Australia's only videogame show for younger gamers. Gem, Rad, and Jax review the hottest new games, answer your toughest gaming questions, and celebrate all the fun news from the world of gaming.","We check out the huge new open world Pokemon adventure in Pokemon Legends: Arceus, plus we go through what big games of 2022 we're looking forward to most!","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH2163H001S00_620c714b83a46_1920.jpg,"Host Gem, Rad, Jax","['abc3', 'ggsp', '3featured', 'abc3-faves', 'childrens', 'family-viewing']",2022-02-19 09:17:42,G,1440
