,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
108,Panel Discussion,Q+A,Q+A,A Tale of Two Cities,"Q+A is back to get more of the answers to your questions from the people who know. Get set for another year of lively debate and surprising, thought-provoking discussions that challenge our thinking on big and complex issues.","Stan Grant and the Q+A panel discuss communities divided by COVID restrictions in Sydney and around Australia, as well as the AUKUS pact for nuclear submarines and the ongoing debate around diversity in Parliament.","['ABC TV', 'ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2104H032S00_613ec239c68dc_1280.jpg,"Host Virginia Trioli, David Speers, Stan Grant","['abc1', 'news', 'panel', 'current-affairs', 'politics', 'interviews', 'featured']",2021-09-16 21:33:47,No data found,3686
109,Panel Discussion,You Can't Ask That,You Can't Ask That,Series 5 Olympic and Paralympic Gold Medallists,Asking the most outrageous and uncomfortable questions to uncover the truth behind what it's like for marginalised and misunderstood Australians.,We ask six Olympic gold medallists and one Paralympic gold medallist about winning. Is it all it's cracked up to be? What does it take to be the best in the world? Determination? Obsession? Money? Sacrifice?,"['ABC TV', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1917H006S00_5e8d547abf31b.jpg,No more information found,"['abc1', 'panel', 'entertainment', 'factual', 'people', 'culture', 'inspirational', 'emotional', 'irreverent', 'quirky', 'feel-good', 'revealing', 'cald', 'diversity', 'lgbtqi', 'gender', 'disability', 'australia', 'binge-worthy']",2020-04-22 21:32:25,PG,1821
110,Panel Discussion,You Can't Ask That (Simplified Chinese Subtitles),You Can't Ask That (Simplified Chinese Subtitles),Series 2 Refugees,Asking the most outrageous and uncomfortable questions to uncover the truth behind what it's like for marginalised and misunderstood Australians.,"You Can't Ask That asks refugees the awkward, inappropriate or uncomfortable questions you've always wanted to know the answers to, but never had the guts to ask. This program includes simplified Chinese language subtitles.",['ABC TV'],https://cdn.iview.abc.net.au/thumbs/i/iv/IV1809H006S00_5b1f68a462ef5_1280.jpg,No more information found,"['docs', 'abc1']",2018-02-16 05:30:00,PG,1759
111,Panel Discussion,The Drum,The Drum,Monday 28/3/2022,"A tapestry of voices with a range of opinions and viewpoints. Ellen Fanning and Julia Baird lead the conversations that will get the nation talking, joined by our informed panel plus revealing discussions with special guests.","Ellen Fanning and the panel discuss why the Gonski review hasn't led to better educational outcomes, Scott Morrison's multi-billion dollar infrastructure spend in the budget plus concerns about neo-Nazi groups in Australia.","['ABC TV', 'ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2207H041S00_6241496a85584_1920.jpg,No more information found,"['abc1', 'news24', 'news', 'panel', 'election', 'best-news24', 'latest', 'news-analysis']",2022-03-28 19:00:00,No data found,3483
112,Panel Discussion,Australia Talks 2019,No data found,Australia Talks 2019,"In 2019, the ABC asked people across the country about issues important to us as a nation. In this special, hosts Annabel Crabb and Waleed Aly uncover some unexpected and surprising insights into what Aussies are actually talking about.","In 2019, the ABC asked people across the country about issues important to us as a nation. In this special, hosts Annabel Crabb and Waleed Aly uncover some unexpected and surprising insights into what Aussies are actually talking about.","['ABC TV', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1811H001S00_5ddcb7b95350d_1280.jpg,"Host Annabel Crabb, Waleed Aly","['abc1', 'factual', 'panel', 'current-affairs', 'real-life', 'people', 'culture', 'diversity', 'compelling', 'informative', 'revealing', 'feel-good', 'ns:be-informed', 'ns:understand', 'ns:develop-myself', 'a:established-paren']",2019-11-18 22:01:30,PG,5321
113,Panel Discussion,Gruen,Gruen,Series 11 Episode 2,"The Gruen team decode and expose all the messaging we fall for. Whether it's a juice label that thinks it's your long lost best friend or a gorgeous white line design on a Kmart plate, nothing will escape the Gruen gaze.","The Gruen team look at the advertising aftermath of the royal commission: how the big, small and online financial institutions are banking on an image change. Plus KFC's very quiet re-rebrand and the Pitch tackles over 65s.","['ABC TV', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1927H002S00_5d954fb0ea14a_1280.jpg,Host Wil Anderson,"['abc1', 'australian', 'comedy', 'funny', 'panel', 'pop-culture', 'quirky', 'lighthearted', 'ns:be-entertained']",2019-10-02 21:01:00,PG,2094
114,Panel Discussion,Friday Briefing,Friday Briefing,Friday 4/3/2022,End the week on top of all the big issues in politics and national affairs. Greg Jennett is joined by a panel of journalists and commentators to discuss the big stories that dominated the news agenda this week.,"Greg Jennett looks back at the big issues and events of the week including the flood crisis in Queensland and NSW plus the War In Ukraine, speaking with Kimberley Caines, Tom Crowley and Pablo Vinales.","['ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nu/NU2269V_620f039106202_3600.jpg,No more information found,"['news', 'news24', 'panel', 'current-affairs', 'politics']",2022-03-04 17:00:00,No data found,1680
115,Panel Discussion,Gruen,Gruen,Series 10 Episode 9,"The Gruen team decode and expose all the messaging we fall for. Whether it's a juice label that thinks it's your long lost best friend or a gorgeous white line design on a Kmart plate, nothing will escape the Gruen gaze.",How confectionery is marketing itself without any TV ads the flood of End of Financial Year Sales - do they work or do consumers have discount fatigue? Plus a Pitch to convince Millennials to move where the grass is greener.,"['ABC TV', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1727H009S00_5b342c3d5fa90_1280.jpg,Host Wil Anderson,"['abc1', 'australian', 'comedy', 'funny', 'panel', 'pop-culture', 'quirky', 'lighthearted', 'ns:be-entertained']",2018-06-27 21:15:43,PG,2144
116,Panel Discussion,Afternoon Briefing,Afternoon Briefing,Monday 28/3/2022,"The daily destination for #auspol addicts. With a Federal Election due before the end of May, Greg Jennett will break political news and interrogate politicians, candidates and public officials on the big national issues.","On the eve of the Budget, Greg Jennett speaks with Labor Frontbencher Jason Clare, Dans Bain, Retired Major General Mick Ryan, a panel of James Stevens and Ged Kearney, plus Australian Industry Group CEO Innes Willox.","['ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nu/NU2222V_61f72155373ab_3600.jpg,No more information found,"['news', 'news24', 'panel', 'politics', 'budget', 'economy', 'finance', 'business']",2022-03-28 17:00:00,No data found,3480
117,Panel Discussion,Q+A,Q+A,Shifting Allegiances,"Q+A is back to get more of the answers to your questions from the people who know. Get set for another year of lively debate and surprising, thought-provoking discussions that challenge our thinking on big and complex issues.",The Q+A panel discusses Australia's relationship with China and our place in an increasingly complicated international landscape.,"['ABC TV', 'ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2104H040S00_618b27e0a4823_1280.jpg,"Host Virginia Trioli, David Speers, Stan Grant","['abc1', 'news', 'panel', 'current-affairs', 'politics', 'interviews', 'featured']",2021-11-11 21:32:35,No data found,3670
